"","block1","direction1","block2","direction2","n","group"
"1","J","forward","B","forward",19622,"head-tail"
"2","J","reverse","O","forward",19528,"tail-tail"
"3","B","forward","Mp","forward",19378,"head-tail"
"4","L","forward","J","forward",19307,"head-tail"
"5","L","reverse","V","forward",18377,"tail-tail"
"6","V","forward","S","forward",14445,"head-tail"
"7","J","forward","Q","reverse",12391,"head-head"
"8","V","forward","D","forward",11757,"head-tail"
"9","D","forward","Kp","forward",11741,"head-tail"
"10","Fp","forward","R","forward",11400,"head-tail"
"11","O","forward","F","forward",11044,"head-tail"
"12","F","forward","Fp","forward",10765,"head-tail"
"13","R","forward","S","reverse",9320,"head-head"
"14","Mp","forward","U","reverse",7858,"head-head"
"15","Fp","reverse","N","forward",7301,"tail-tail"
"16","Kp","forward","U","forward",6969,"head-tail"
"17","A","forward","P","forward",6957,"head-tail"
"18","T","forward","V","forward",6858,"head-tail"
"19","N","forward","A","forward",6345,"head-tail"
"20","A","forward","T","forward",6320,"head-tail"
"21","K","forward","O","reverse",5680,"head-head"
"22","Kp","forward","K","forward",5447,"head-tail"
"23","I","forward","Kp","forward",4599,"head-tail"
"24","J","forward","E","forward",4345,"head-tail"
"25","P","forward","I","forward",4274,"head-tail"
"26","E","forward","A","forward",4248,"head-tail"
"27","Mp","forward","M","forward",4078,"head-tail"
"28","Fp","forward","M","reverse",3989,"head-head"
"29","H","forward","Q","forward",3060,"head-tail"
"30","P","forward","H","forward",2525,"head-tail"
"31","C","forward","Q","forward",2293,"head-tail"
"32","S","forward","C","forward",2287,"head-tail"
"33","J","reverse","R","forward",45,"tail-tail"
"34","V","forward","V","reverse",18,"head-head"
"35","Fp","forward","O","forward",14,"head-tail"
"36","D","forward","A","forward",10,"head-tail"
"37","D","forward","D","reverse",6,"head-head"
"38","I","forward","S","forward",6,"head-tail"
"39","S","forward","E","forward",5,"head-tail"
"40","Kp","reverse","Kp","forward",5,"tail-tail"
"41","J","reverse","J","forward",5,"tail-tail"
"42","D","forward","I","reverse",3,"head-head"
"43","S","forward","M","forward",3,"head-tail"
"44","S","reverse","S","forward",3,"tail-tail"
"45","B","forward","Mp","reverse",2,"head-head"
"46","Q","forward","A","forward",2,"head-tail"
"47","T","forward","L","forward",2,"head-tail"
"48","V","forward","Kp","forward",2,"head-tail"
"49","Q","forward","B","forward",2,"head-tail"
"50","S","reverse","C","forward",2,"tail-tail"
"51","S","reverse","D","forward",2,"tail-tail"
"52","P","reverse","P","forward",2,"tail-tail"
"53","A","forward","E","reverse",1,"head-head"
"54","B","forward","V","forward",1,"head-tail"
"55","F","forward","O","reverse",1,"head-head"
"56","I","forward","J","forward",1,"head-tail"
"57","I","forward","P","reverse",1,"head-head"
"58","J","forward","Mp","reverse",1,"head-head"
"59","Kp","forward","Kp","reverse",1,"head-head"
"60","L","forward","O","forward",1,"head-tail"
"61","Mp","forward","C","forward",1,"head-tail"
"62","P","forward","P","reverse",1,"head-head"
"63","Q","forward","A","reverse",1,"head-head"
"64","S","forward","S","reverse",1,"head-head"
"65","S","forward","F","reverse",1,"head-head"
"66","U","forward","J","reverse",1,"head-head"
"67","Q","reverse","Q","forward",1,"tail-tail"
"68","Kp","reverse","K","forward",1,"tail-tail"
"69","B","reverse","Mp","forward",1,"tail-tail"
"70","A","reverse","A","forward",1,"tail-tail"
"71","L","forward","V","forward",1,"head-tail"
"72","P","reverse","T","forward",1,"tail-tail"
"73","L","reverse","L","forward",1,"tail-tail"
"74","L","reverse","Mp","forward",1,"tail-tail"
"75","J","forward","Mp","forward",1,"head-tail"
"76","P","forward","K","forward",1,"head-tail"
"77","J","reverse","S","forward",1,"tail-tail"
"78","Fp","reverse","Fp","forward",1,"tail-tail"
"79","I","forward","Fp","forward",1,"head-tail"
"80","O","reverse","Q","forward",1,"tail-tail"
"81","E","reverse","V","forward",1,"tail-tail"
"82","Mp","forward","E","forward",1,"head-tail"
"83","J","forward","F","forward",1,"head-tail"
"84","C","reverse","U","forward",1,"tail-tail"
